Comment,Designator,Footprint,LCSC
100nf,"C2,C3,C4,C5,C6,C7,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C14663
100R,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R4,R5,R6,R7,R8,R9",R_0201_0603Metric,C22775
74AHCT595,"U2,U4,U6,U8",TSSOP-16_4.4x5mm_P0.65mm,C460504
74HCT245,"U3,U5,U7,U9",TSSOP-20_4.4x6.5mm_P0.65mm,C6779
J1B1211CCD,P1,J1B1211CCD,C910371
0.1uF,C1,C_Disc_D3.0mm_W1.6mm_P2.50mm,
Teensy4.1,U1,Teensy41,
Screw_Terminal_01x02,LED_PWR_IN1,Wago_734-162_1x02_P3.50mm_Horizontal,
